State,Facility ID,Unit ID,Latitude,Longitude,Primary Fuel Type,Operating Status,Associated Generators & Nameplate Capacity (MWe)
TX,50109,HRSG1,33.6968,-95.5577,Pipeline Natural Gas,Operating,"GEN3 (90), GEN1 (80)"
TX,50109,HRSG2,33.6968,-95.5577,Pipeline Natural Gas,Operating,"GEN3 (90), GEN2 (80)"
TX,50137,1,29.2639,-95.8997,Pipeline Natural Gas,Operating,GEN1 (78.7)
WV,50151,B26,38.3688,-81.6786,Natural Gas,Operating,8 (6)
WV,50151,B27,38.3688,-81.6786,Natural Gas,Operating,8 (6)
NC,50188,105,35.2081,-77.1242,Pipeline Natural Gas,Operating,
NC,50188,6,35.2081,-77.1242,Pipeline Natural Gas,Operating,
IN,50240,2,40.4172,-86.9117,Pipeline Natural Gas,Operating,
IN,50240,3,40.4172,-86.9117,Natural Gas,Operating,
IN,50240,5,40.4172,-86.9117,Coal,Operating,
IN,50240,7,40.4172,-86.9117,Natural Gas,Operating,
ME,50243,GEN4,44.5739,-68.8033,Natural Gas,Operating,GEN4 (186.9)
NC,50254,001,36.4769,-77.6414,Coal,Operating,GEN1 (22.5)
PA,50279,2,41.4844,-75.5403,Pipeline Natural Gas,Operating,GEN2 (60.5)
NY,50292,GT1,40.7469,-73.4994,Pipeline Natural Gas,Operating,"GEN3 (16.2), GEN1 (33.7)"
NY,50292,GT2,40.7469,-73.4994,Pipeline Natural Gas,Operating,"GEN3 (16.2), GEN2 (33.7)"
NY,50292,GT3,40.7469,-73.4994,Pipeline Natural Gas,Operating,GEN5 (60)
NY,50292,GT4,40.7469,-73.4994,Pipeline Natural Gas,Operating,"GEN6 (60), GEN7 (36)"
NY,50368,CT1,42.4428,-76.4764,Pipeline Natural Gas,Operating,"TG2 (5.7), TG1 (1.8), CT1 (15)"
NY,50368,CT2,42.4428,-76.4764,Pipeline Natural Gas,Operating,"CT2 (15), TG1 (1.8), TG2 (5.7)"
PA,50397,036,39.8717,-76.8664,Coal,Operating,"GEN6 (39.2), GEN4 (7.5), GEN5 (45.9), GEN2 (6), GEN1 (6), GEN3 (5.1)"
PA,50397,038,39.8717,-76.8664,Pipeline Natural Gas,Operating,"GEN1 (6), GEN3 (5.1)"
PA,50397,039,39.8717,-76.8664,Pipeline Natural Gas,Operating,"GEN3 (5.1), GEN1 (6), GEN6 (39.2), GEN4 (7.5)"
NY,50449,1,42.6544,-78.0772,Pipeline Natural Gas,Operating,"GEN1 (39.4), GEN2 (17.3)"
NY,50450,1,43.4682,-76.4965,Pipeline Natural Gas,Operating,"GEN1 (41.3), GEN2 (16.3)"
NY,50451,1,42.9671,-78.9182,Pipeline Natural Gas,Operating,"GEN1 (40.7), GEN2 (19.4)"
NY,50458,1,43.25,-73.8125,Pipeline Natural Gas,Operating,"GEN2 (55), GEN1 (92)"
PA,50463,328001,41.573,-76.0426,Pipeline Natural Gas,Operating,GEN1 (53.6)
PA,50463,328002,41.573,-76.0426,Pipeline Natural Gas,Operating,GEN3 (64)
NY,50472,BLR05,43.0839,-79.0056,Pipeline Natural Gas,Operating,
NY,50472,R1B01,43.0839,-79.0056,Natural Gas,Operating,"GEN2 (25), GEN1 (25)"
NY,50472,R1B02,43.0839,-79.0056,Pipeline Natural Gas,Operating,"GEN2 (25), GEN1 (25)"
VA,50479,6,37.534,-79.357,Pipeline Natural Gas,Operating,
TN,50481,253-25,36.5192,-82.535,Other Gas,Operating,TG16 (11.1)
TN,50481,253-26,36.5192,-82.535,Other Gas,Operating,"TG19 (11.1), TG17 (11.1)"
TN,50481,253-27,36.5192,-82.535,Other Gas,Operating,TG18 (11.1)
TN,50481,253-28,36.5192,-82.535,Other Gas,Operating,
TN,50481,253-29,36.5192,-82.535,Other Gas,Operating,TG20 (11.1)
TN,50481,325-30,36.5192,-82.535,Coal,Operating,TG22 (15.3)
TN,50481,325-31,36.5192,-82.535,Coal,Operating,TG26 (16.6)
TN,50481,83-23,36.5192,-82.535,Coal,Operating,TG13 (7.5)
TN,50481,83-24,36.5192,-82.535,Coal,Operating,TG15 (7.5)
WV,50491,001,39.7475,-80.8547,Pipeline Natural Gas,Operating,"GEN6 (26), GEN4 (9), GEN3 (2)"
WV,50491,002,39.7475,-80.8547,Coal,Operating,"GEN3 (2), GEN4 (9), GEN6 (26)"
WV,50491,003,39.7475,-80.8547,Coal,Operating,GEN7 (82)
NC,50555,1,36.4525,-77.6594,Diesel Oil,Operating,"GEN1 (86), GEN3 (54)"
NC,50555,2,36.4525,-77.6594,Diesel Oil,Operating,"GEN2 (40), GEN3 (54)"
OK,50558,CC01,35.442,-97.6477,Pipeline Natural Gas,Operating,"GT01 (72.5), ST01 (49.9)"
NJ,50561,0001,39.8746,-75.1592,Pipeline Natural Gas,Operating,"GTG1 (90), STG1 (45), STG4 (26)"
NJ,50561,0002,39.8746,-75.1592,Pipeline Natural Gas,Operating,"GTG2 (90), STG4 (26), STG1 (45)"
PA,50607,23,39.9422,-75.1875,Residual Oil,Operating,
PA,50607,26,39.9422,-75.1875,Pipeline Natural Gas,Operating,
PA,50607,RSB1,39.9422,-75.1875,Pipeline Natural Gas,Operating,
PA,50607,RSB2,39.9422,-75.1875,Pipeline Natural Gas,Operating,
PA,50611,031,40.6191,-76.45,Coal,Operating,GEN1 (34)
CA,50612,GT1,35.3195,-119.662,Pipeline Natural Gas,Operating,GEN1 (48)
TX,50625,61STK1,30.0639,-94.0703,Natural Gas,Operating,TG41 (165)
TX,50625,61STK2,30.0639,-94.0703,Natural Gas,Operating,TG42 (165)
TX,50625,61STK3,30.0639,-94.0703,Natural Gas,Operating,TG43 (165)
IL,50627,20B1,41.4167,-88.1833,Process Gas,Operating,"GTG1 (21.9), STG1 (6.5)"
IL,50627,55B100,41.4167,-88.1833,Process Gas,Operating,
NJ,50628,748001,39.84,-75.2583,Process Gas,Operating,"GEN2 (15), GEN3 (15)"
NJ,50628,749001,39.84,-75.2583,Process Gas,Operating,GEN1 (27)
NJ,50628,751001,39.84,-75.2583,Process Gas,Operating,"GEN2 (15), GEN3 (15)"
NJ,50628,752001,39.84,-75.2583,Process Gas,Operating,"GEN2 (15), GEN3 (15)"
NJ,50628,780001,39.84,-75.2583,Process Gas,Operating,
CO,50707,S001,40.0979,-104.7745,Pipeline Natural Gas,Operating,"STA (52.2), STB (52.2), LMA (57.4)"
CO,50707,S002,40.0979,-104.7745,Pipeline Natural Gas,Operating,"STA (52.2), LMB (57.4), STB (52.2)"
CO,50707,S003,40.0979,-104.7745,Pipeline Natural Gas,Operating,"STA (52.2), STB (52.2), LMC (57.4)"
CO,50707,S004,40.0979,-104.7745,Pipeline Natural Gas,Operating,"STB (52.2), STA (52.2), LMD (57.4)"
CO,50707,S005,40.0979,-104.7745,Pipeline Natural Gas,Operating,"STA (52.2), STB (52.2), LME (57.4)"
PA,50729,CLBLR1,40.3097,-79.8819,Other Gas,Operating,
PA,50729,CLBLR2,40.3097,-79.8819,Other Gas,Operating,
PA,50732,ETBLR1,40.3925,-79.8564,Process Gas,Operating,"GEN2 (25), GEN1 (25)"
PA,50732,ETBLR2,40.3925,-79.8564,Process Gas,Operating,"GEN1 (25), GEN2 (25)"
PA,50732,ETBLR3,40.3925,-79.8564,Process Gas,Operating,"GEN2 (25), GEN1 (25)"
IN,50733,701B1,41.6133,-87.3281,Process Gas,Operating,
IN,50733,701B2,41.6133,-87.3281,Process Gas,Operating,
IN,50733,701B3,41.6133,-87.3281,Process Gas,Operating,
IN,50733,701B5,41.6133,-87.3281,Process Gas,Operating,
IN,50733,701B6,41.6133,-87.3281,Process Gas,Operating,
IN,50733,720B1,41.6133,-87.3281,Process Gas,Operating,
IN,50733,720B2,41.6133,-87.3281,Process Gas,Operating,
IN,50733,720B3,41.6133,-87.3281,Process Gas,Operating,
NY,50744,00001,43.0803,-75.6003,Pipeline Natural Gas,Operating,"GEN2 (16.5), GEN1 (47.7)"
PA,50776,1,40.8556,-75.8781,Coal,Operating,GEN1 (94)
PA,50776,2,40.8556,-75.8781,Coal,Operating,GEN1 (94)
TX,50815,ENG101,29.8169,-95.1086,Pipeline Natural Gas,Operating,"GEN6 (129.2), GEN1 (84.9)"
TX,50815,ENG201,29.8169,-95.1086,Pipeline Natural Gas,Operating,"GEN2 (84.9), GEN6 (129.2)"
TX,50815,ENG301,29.8169,-95.1086,Pipeline Natural Gas,Operating,"GEN6 (129.2), GEN3 (84.9)"
TX,50815,ENG401,29.8169,-95.1086,Pipeline Natural Gas,Operating,"GEN4 (84.9), GEN6 (129.2)"
TX,50815,ENG501,29.8169,-95.1086,Pipeline Natural Gas,Operating,"GEN6 (129.2), GEN5 (84.9)"
TX,50815,ENG601,29.8169,-95.1086,Pipeline Natural Gas,Operating,"GEN7 (84.9), GEN6 (129.2)"
MI,50835,1,44.217,-86.2906,Coal,Operating,GEN1 (70)
MI,50835,2,44.217,-86.2906,Coal,Operating,GEN1 (70)
CA,50865,1,35.9515,-120.8679,Pipeline Natural Gas,Operating,K100 (38.9)
PA,50888,NGC01,40.6917,-75.4792,Coal Refuse,Operating,GEN1 (125)
VA,50900,001,37.7997,-79.9946,Coal,Operating,
VA,50900,004,37.7997,-79.9946,Coal,Operating,
VA,50900,005,37.7997,-79.9946,Natural Gas,Operating,
VA,50900,011,37.7997,-79.9946,Natural Gas,Operating,
MT,50931,BLR1,45.8117,-108.4278,,Operating,GEN1 (65)
MT,50931,BLR2,45.8117,-108.4278,,Operating,GEN1 (65)
FL,50949,CT2B,27.6364,-81.9636,Pipeline Natural Gas,Operating,GEN5 (86.5)
