market_date,flowgate_nerc_id,constraint_id,constraint_name,branch_name,contingency,hour,shadow_price,constraint_description
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),07:10,-199.3,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),07:15,-64.6,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),07:20,-136.1,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,09:30,-76.68,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,09:40,-2.41,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,09:45,-4.82,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,09:50,-30.95,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,09:50,-6.21,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,09:55,-16.0,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:00,-78.74,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:10,-700.0,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:15,-1000.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:15,-3.73,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:20,-1000.0,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:25,-1000.0,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:30,-1000.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:30,-1.24,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,10:35,-47.74,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:35,-740.9,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:35,-1.31,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,10:40,-85.45,
07/09/2024,,356021.0,EE13236_CALVNX_CALVNX_RIVTR24_1,CALVNX CALVNX_RIVTR24 1 (LN/EES/EES),CALVIN - RIVTRIN (LINE 1) 138,10:40,-1000.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:40,-49.18,
07/09/2024,,326678.0,EE23157_SHP_SHP____CLDS164_A,SHP SHP____CLDS164 A (LN/EES/EES),JACINTO-PEACH CREEK 230,10:45,-859.54,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:45,-6.33,
07/09/2024,,326678.0,EE23157_SHP_SHP____CLDS164_A,SHP SHP____CLDS164 A (LN/EES/EES),JACINTO-PEACH CREEK 230,10:50,-700.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:50,-22.84,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,10:55,-57.96,
07/09/2024,,326678.0,EE23157_SHP_SHP____CLDS164_A,SHP SHP____CLDS164 A (LN/EES/EES),JACINTO-PEACH CREEK 230,10:55,-881.37,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,10:55,-94.43,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,11:00,-184.04,
07/09/2024,,326678.0,EE23157_SHP_SHP____CLDS164_A,SHP SHP____CLDS164 A (LN/EES/EES),JACINTO-PEACH CREEK 230,11:00,-1000.0,
07/09/2024,,331082.0,EE23X156_LNG_LNG____LACON_4_A,LNG LNG____LACON_4 A (LN/EES/EES),LEWIS CREEK 230/138 AT1,11:00,-1000.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,11:00,-79.45,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,11:05,-48.38,
07/09/2024,,326678.0,EE23157_SHP_SHP____CLDS164_A,SHP SHP____CLDS164 A (LN/EES/EES),JACINTO-PEACH CREEK 230,11:05,-700.0,
07/09/2024,,331082.0,EE23X156_LNG_LNG____LACON_4_A,LNG LNG____LACON_4 A (LN/EES/EES),LEWIS CREEK 230/138 AT1,11:05,-1000.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,11:05,-28.05,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,11:10,-60.26,
07/09/2024,,326678.0,EE23157_SHP_SHP____CLDS164_A,SHP SHP____CLDS164 A (LN/EES/EES),JACINTO-PEACH CREEK 230,11:10,-700.0,
07/09/2024,,331082.0,EE23X156_LNG_LNG____LACON_4_A,LNG LNG____LACON_4 A (LN/EES/EES),LEWIS CREEK 230/138 AT1,11:10,-1000.0,
07/09/2024,,331256.0,WEC13332_BLUFFCRK_WHIG53_2,BLUFFCRK WHIG53 2 (LN/WEC/WEC),UNIVERSITY - MUKWONAGO 138 (UNIG52,11:10,-11.12,
07/09/2024,,412120.0,BASE_7MILECRK_X-159_1,7MILECRK X-159 1 (LN/ALTE/ALTE),,11:15,-49.13,
